Epoch		Loss	Accuracy
Epoch 0: 15.604630 0.101562
Epoch 100: 2.352732 0.296875
Epoch 200: 2.420285 0.304688
Epoch 300: 1.996700 0.296875
Epoch 400: 2.136250 0.312500
Epoch 500: 1.749122 0.437500
Epoch 600: 1.795699 0.390625
Epoch 700: 1.886772 0.367188
Epoch 800: 1.807175 0.406250
Epoch 900: 1.515770 0.421875
Epoch 1000: 1.828810 0.382812
Epoch 1100: 1.807580 0.382812
Epoch 1200: 1.645551 0.414062
Epoch 1300: 1.554368 0.453125
Epoch 1400: 1.572867 0.500000
Epoch 1500: 1.637755 0.421875
Epoch 1600: 1.621257 0.484375
Epoch 1700: 1.787647 0.367188
Epoch 1800: 1.580807 0.429688
Epoch 1900: 1.712730 0.382812
Epoch 2000: 1.443407 0.492188
Epoch 2100: 1.382597 0.546875
Epoch 2200: 1.565517 0.500000
Epoch 2300: 1.415659 0.492188
Epoch 2400: 1.226436 0.570312
Epoch 2500: 1.477119 0.460938
Epoch 2600: 1.534974 0.476562
Epoch 2700: 1.491580 0.476562
Epoch 2800: 1.305935 0.562500
Epoch 2900: 1.399720 0.523438
Epoch 3000: 1.475088 0.515625
Epoch 3100: 1.318106 0.531250
Epoch 3200: 1.432131 0.476562
Epoch 3300: 1.348719 0.531250
Epoch 3400: 1.490668 0.460938
Epoch 3500: 1.760197 0.398438
Epoch 3600: 1.411203 0.531250
Epoch 3700: 1.270026 0.546875
Epoch 3800: 1.452401 0.492188
Epoch 3900: 1.381521 0.523438
Epoch 4000: 1.411345 0.476562
Epoch 4100: 1.522173 0.414062
Epoch 4200: 1.501748 0.460938
Epoch 4300: 1.237351 0.546875
Epoch 4400: 1.261930 0.539062
Epoch 4500: 1.260113 0.601562
Epoch 4600: 1.163334 0.578125
Epoch 4700: 1.310786 0.515625
Epoch 4800: 1.294521 0.585938
Epoch 4900: 1.320497 0.515625
Epoch 5000: 1.249095 0.515625
Epoch 5100: 1.338859 0.562500
Epoch 5200: 1.124475 0.585938
Epoch 5300: 1.322006 0.531250
Epoch 5400: 1.481980 0.515625
Epoch 5500: 1.372091 0.468750
Epoch 5600: 1.355119 0.492188
Epoch 5700: 1.318509 0.492188
Epoch 5800: 1.352842 0.484375
Epoch 5900: 1.207789 0.617188
Epoch 6000: 1.177500 0.625000
Epoch 6100: 1.260961 0.570312
Epoch 6200: 1.239510 0.593750
Epoch 6300: 1.172277 0.539062
Epoch 6400: 1.209167 0.554688
Epoch 6500: 1.318847 0.539062
Epoch 6600: 1.353384 0.515625
Epoch 6700: 1.259432 0.562500
Epoch 6800: 1.241880 0.539062
Epoch 6900: 1.261087 0.554688
Epoch 7000: 1.105742 0.625000
Epoch 7100: 1.167059 0.632812
Epoch 7200: 1.157676 0.640625
Epoch 7300: 1.148854 0.562500
Epoch 7400: 1.220693 0.617188
Epoch 7500: 1.040291 0.648438
Epoch 7600: 1.066450 0.609375
Epoch 7700: 1.261972 0.554688
Epoch 7800: 1.133633 0.617188
Epoch 7900: 1.161989 0.593750
Epoch 8000: 1.080520 0.585938
Epoch 8100: 1.156223 0.609375
Epoch 8200: 1.159281 0.554688
Epoch 8300: 1.233685 0.601562
Epoch 8400: 1.124908 0.625000
Epoch 8500: 1.187520 0.546875
Epoch 8600: 0.957066 0.625000
Epoch 8700: 1.177482 0.609375
Epoch 8800: 1.209217 0.593750
Epoch 8900: 1.301562 0.539062
Epoch 9000: 1.112350 0.601562
Epoch 9100: 1.210377 0.539062
Epoch 9200: 1.085465 0.640625
Epoch 9300: 1.187229 0.585938
Epoch 9400: 0.996026 0.601562
Epoch 9500: 0.806446 0.734375
Epoch 9600: 0.955303 0.710938
Epoch 9700: 1.148489 0.601562
Epoch 9800: 1.111687 0.609375
Epoch 9900: 1.036345 0.625000
Epoch 10000: 1.106564 0.601562
Epoch 10100: 1.165213 0.593750
Epoch 10200: 1.038960 0.625000
Epoch 10300: 1.111823 0.593750
Epoch 10400: 0.962962 0.648438
Epoch 10500: 1.188807 0.554688
Epoch 10600: 1.040189 0.601562
Epoch 10700: 1.111218 0.609375
Epoch 10800: 0.891467 0.703125
Epoch 10900: 1.082258 0.640625
Epoch 11000: 0.824555 0.703125
Epoch 11100: 0.834848 0.718750
Epoch 11200: 1.350598 0.570312
Epoch 11300: 0.980370 0.664062
Epoch 11400: 1.088900 0.609375
Epoch 11500: 0.875345 0.679688
Epoch 11600: 1.032635 0.656250
Epoch 11700: 1.036906 0.648438
Epoch 11800: 1.119388 0.625000
Epoch 11900: 0.905248 0.687500
Epoch 12000: 0.854802 0.679688
Epoch 12100: 0.951038 0.664062
Epoch 12200: 0.809143 0.710938
Epoch 12300: 0.770550 0.750000
Epoch 12400: 1.161632 0.625000
Epoch 12500: 0.965354 0.695312
Epoch 12600: 0.914818 0.664062
Epoch 12700: 1.017038 0.640625
Epoch 12800: 0.895878 0.671875
Epoch 12900: 0.983825 0.625000
